<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20201117,153500,120.18,120.31,119.86,119.98,1482288,0
AAPL.US,5,20201117,154000,119.97,120.19,119.44,119.51,1166727,0
AAPL.US,5,20201117,154500,119.505,119.529,119.11,119.365,1964977,0
AAPL.US,5,20201117,155000,119.37,119.45,118.96,119.349,1633790,0
AAPL.US,5,20201117,155500,119.345,119.5,119.11,119.145,982486,0
AAPL.US,5,20201117,160000,119.142,119.44,119.11,119.18,943454,0
AAPL.US,5,20201117,160500,119.189,119.55,119.16,119.544,830481,0
AAPL.US,5,20201117,161000,119.531,119.73,119.4,119.61,794366,0
AAPL.US,5,20201117,161500,119.605,119.75,119.48,119.637,842329,0
AAPL.US,5,20201117,162000,119.638,119.811,119.54,119.8,796330,0
AAPL.US,5,20201117,162500,119.81,119.91,119.76,119.85,713424,0
AAPL.US,5,20201117,163000,119.85,120.01,119.771,119.815,948522,0
AAPL.US,5,20201117,163500,119.814,119.945,119.8,119.9,653324,0
AAPL.US,5,20201117,164000,119.91,120.29,119.905,120.175,1205012,0
AAPL.US,5,20201117,164500,120.175,120.23,120.03,120.125,681814,0
AAPL.US,5,20201117,165000,120.13,120.44,120.08,120.44,1114555,0
AAPL.US,5,20201117,165500,120.435,120.53,120.33,120.36,1211548,0
AAPL.US,5,20201117,170000,120.36,120.4,120.093,120.155,747286,0
AAPL.US,5,20201117,170500,120.155,120.32,120.155,120.308,651255,0
AAPL.US,5,20201117,171000,120.305,120.31,120.055,120.14,590497,0
AAPL.US,5,20201117,171500,120.145,120.19,119.98,120.035,771732,0
AAPL.US,5,20201117,172000,120.035,120.05,119.72,119.76,709042,0
AAPL.US,5,20201117,172500,119.77,119.93,119.6,119.82,897518,0
AAPL.US,5,20201117,173000,119.83,119.99,119.76,119.845,683304,0
AAPL.US,5,20201117,173500,119.85,119.96,119.75,119.865,478507,0
AAPL.US,5,20201117,174000,119.87,119.96,119.79,119.947,472120,0
AAPL.US,5,20201117,174500,119.94,119.94,119.74,119.8,466389,0
AAPL.US,5,20201117,175000,119.81,119.95,119.68,119.911,516878,0
AAPL.US,5,20201117,175500,119.911,120.22,119.911,120.22,706330,0
AAPL.US,5,20201117,180000,120.21,120.22,120.1,120.17,533599,0
AAPL.US,5,20201117,180500,120.17,120.25,120.08,120.175,495602,0
AAPL.US,5,20201117,181000,120.17,120.265,120.015,120.25,653244,0
AAPL.US,5,20201117,181500,120.243,120.3,120.17,120.19,402005,0
AAPL.US,5,20201117,182000,120.186,120.22,120.07,120.203,335303,0
AAPL.US,5,20201117,182500,120.199,120.34,120.13,120.205,515210,0
AAPL.US,5,20201117,183000,120.205,120.37,120.18,120.339,430767,0
AAPL.US,5,20201117,183500,120.344,120.42,120.29,120.385,439950,0
AAPL.US,5,20201117,184000,120.385,120.39,120.26,120.3,373543,0
AAPL.US,5,20201117,184500,120.305,120.43,120.27,120.362,415475,0
AAPL.US,5,20201117,185000,120.365,120.45,120.365,120.415,389207,0
AAPL.US,5,20201117,185500,120.42,120.49,120.31,120.475,487978,0
AAPL.US,5,20201117,190000,120.47,120.64,120.47,120.6,775220,0
AAPL.US,5,20201117,190500,120.6,120.674,120.48,120.52,651683,0
AAPL.US,5,20201117,191000,120.52,120.57,120.46,120.55,384487,0
AAPL.US,5,20201117,191500,120.55,120.62,120.49,120.505,423243,0
AAPL.US,5,20201117,192000,120.505,120.505,120.32,120.32,494205,0
AAPL.US,5,20201117,192500,120.33,120.48,120.28,120.48,428978,0
AAPL.US,5,20201117,193000,120.475,120.542,120.43,120.46,350548,0
AAPL.US,5,20201117,193500,120.45,120.45,120.36,120.407,246749,0
AAPL.US,5,20201117,194000,120.4,120.41,120.3,120.373,331571,0
AAPL.US,5,20201117,194500,120.374,120.38,120.3,120.355,273795,0
AAPL.US,5,20201117,195000,120.355,120.36,120.3,120.33,318417,0
AAPL.US,5,20201117,195500,120.336,120.459,120.32,120.36,448096,0
AAPL.US,5,20201117,200000,120.36,120.51,120.3,120.45,595133,0
AAPL.US,5,20201117,200500,120.446,120.55,120.42,120.535,422650,0
AAPL.US,5,20201117,201000,120.54,120.615,120.495,120.52,517297,0
AAPL.US,5,20201117,201500,120.525,120.56,120.455,120.464,350326,0
AAPL.US,5,20201117,202000,120.465,120.49,120.38,120.451,385497,0
AAPL.US,5,20201117,202500,120.459,120.52,120.252,120.304,500479,0
AAPL.US,5,20201117,203000,120.3,120.42,120.29,120.41,341792,0
AAPL.US,5,20201117,203500,120.42,120.55,120.415,120.51,527867,0
AAPL.US,5,20201117,204000,120.51,120.52,120.41,120.45,390929,0
AAPL.US,5,20201117,204500,120.448,120.467,120.16,120.18,640247,0
AAPL.US,5,20201117,205000,120.186,120.25,120.07,120.07,559859,0
AAPL.US,5,20201117,205500,120.074,120.119,119.96,120.014,704441,0
AAPL.US,5,20201117,210000,120.014,120.09,119.91,120.075,717830,0
AAPL.US,5,20201117,210500,120.08,120.15,119.9,119.92,646250,0
AAPL.US,5,20201117,211000,119.93,120,119.77,119.945,707325,0
AAPL.US,5,20201117,211500,119.948,120.045,119.87,119.895,484582,0
AAPL.US,5,20201117,212000,119.89,119.95,119.54,119.715,1070969,0
AAPL.US,5,20201117,212500,119.716,119.81,119.645,119.77,653247,0
AAPL.US,5,20201117,213000,119.77,119.781,119.57,119.59,612591,0
AAPL.US,5,20201117,213500,119.59,119.78,119.55,119.77,648925,0
AAPL.US,5,20201117,214000,119.77,119.79,119.56,119.76,710081,0
AAPL.US,5,20201117,214500,119.75,119.77,119.645,119.66,634685,0
AAPL.US,5,20201117,215000,119.67,119.81,119.415,119.474,1882952,0
AAPL.US,5,20201117,215500,119.48,119.58,119.32,119.39,8814697,0
AAPL.US,5,20201118,153000,118.61,119.02,118.24,118.5,4204972,0
AAPL.US,5,20201118,153500,118.5,119.24,118.48,119.09,2040462,0
AAPL.US,5,20201118,154000,119.09,119.23,118.89,119.02,1022926,0
AAPL.US,5,20201118,154500,119.01,119.29,118.81,119.11,1221432,0
AAPL.US,5,20201118,155000,119.11,119.385,118.88,118.97,1354554,0
AAPL.US,5,20201118,155500,118.97,118.97,118.57,118.79,1403028,0
AAPL.US,5,20201118,160000,118.77,118.77,118.48,118.665,1006442,0
AAPL.US,5,20201118,160500,118.66,118.79,118.43,118.54,940752,0
AAPL.US,5,20201118,161000,118.545,118.66,118.45,118.49,837134,0
AAPL.US,5,20201118,161500,118.49,118.8,118.4,118.77,1053024,0
AAPL.US,5,20201118,162000,118.77,119.05,118.77,118.98,939727,0
AAPL.US,5,20201118,162500,118.98,119.15,118.95,119.034,843211,0
AAPL.US,5,20201118,163000,119.016,119.04,118.8,118.881,579622,0
AAPL.US,5,20201118,163500,118.885,118.925,118.74,118.925,587685,0
AAPL.US,5,20201118,164000,118.925,119.12,118.91,119.08,667339,0
AAPL.US,5,20201118,164500,119.08,119.34,119.048,119.32,683336,0
AAPL.US,5,20201118,165000,119.31,119.369,119.26,119.317,666672,0
AAPL.US,5,20201118,165500,119.32,119.5,119.3,119.485,877466,0
